tabla,id,operacion_propuesta,valor_actual,valor_correcto,motivo,fuente
focalizacion_final,26,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,722|PUERTO CONCORDIA,"La fila XLSX 402 indica PUERTO CONCORDIA, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,189,"UPDATE municipio_id, municipio_texto",268|CUMARAL,87|BARRANCA DE UPÍA,"La fila XLSX 29 indica BARRANCA DE UPÍA, pero la fila final quedo asociada a CUMARAL.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,190,"UPDATE municipio_id, municipio_texto",268|CUMARAL,87|BARRANCA DE UPÍA,"La fila XLSX 30 indica BARRANCA DE UPÍA, pero la fila final quedo asociada a CUMARAL.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,191,"UPDATE municipio_id, municipio_texto",268|CUMARAL,87|BARRANCA DE UPÍA,"La fila XLSX 31 indica BARRANCA DE UPÍA, pero la fila final quedo asociada a CUMARAL.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,192,"UPDATE municipio_id, municipio_texto",268|CUMARAL,87|BARRANCA DE UPÍA,"La fila XLSX 32 indica BARRANCA DE UPÍA, pero la fila final quedo asociada a CUMARAL.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,247,"UPDATE municipio_id, municipio_texto",861|SAN LUIS DE CUBARRAL,304|EL DORADO,"La fila XLSX 87 indica EL DORADO, pero la fila final quedo asociada a SAN LUIS DE CUBARRAL.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,248,"UPDATE municipio_id, municipio_texto",861|SAN LUIS DE CUBARRAL,304|EL DORADO,"La fila XLSX 88 indica EL DORADO, pero la fila final quedo asociada a SAN LUIS DE CUBARRAL.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,249,"UPDATE municipio_id, municipio_texto",861|SAN LUIS DE CUBARRAL,304|EL DORADO,"La fila XLSX 89 indica EL DORADO, pero la fila final quedo asociada a SAN LUIS DE CUBARRAL.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,250,"UPDATE municipio_id, municipio_texto",861|SAN LUIS DE CUBARRAL,304|EL DORADO,"La fila XLSX 90 indica EL DORADO, pero la fila final quedo asociada a SAN LUIS DE CUBARRAL.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,391,"UPDATE municipio_id, municipio_texto",477|LA MACARENA,722|PUERTO CONCORDIA,"La fila XLSX 393 indica PUERTO CONCORDIA, pero la fila final quedo asociada a LA MACARENA.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,392,"UPDATE municipio_id, municipio_texto",477|LA MACARENA,722|PUERTO CONCORDIA,"La fila XLSX 394 indica PUERTO CONCORDIA, pero la fila final quedo asociada a LA MACARENA.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,393,"UPDATE municipio_id, municipio_texto",477|LA MACARENA,722|PUERTO CONCORDIA,"La fila XLSX 395 indica PUERTO CONCORDIA, pero la fila final quedo asociada a LA MACARENA.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,394,"UPDATE municipio_id, municipio_texto",477|LA MACARENA,722|PUERTO CONCORDIA,"La fila XLSX 396 indica PUERTO CONCORDIA, pero la fila final quedo asociada a LA MACARENA.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,395,"UPDATE municipio_id, municipio_texto",477|LA MACARENA,722|PUERTO CONCORDIA,"La fila XLSX 397 indica PUERTO CONCORDIA, pero la fila final quedo asociada a LA MACARENA.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,396,"UPDATE municipio_id, municipio_texto",477|LA MACARENA,722|PUERTO CONCORDIA,"La fila XLSX 398 indica PUERTO CONCORDIA, pero la fila final quedo asociada a LA MACARENA.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,397,"UPDATE municipio_id, municipio_texto",477|LA MACARENA,722|PUERTO CONCORDIA,"La fila XLSX 399 indica PUERTO CONCORDIA, pero la fila final quedo asociada a LA MACARENA.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,398,"UPDATE municipio_id, municipio_texto",477|LA MACARENA,722|PUERTO CONCORDIA,"La fila XLSX 400 indica PUERTO CONCORDIA, pero la fila final quedo asociada a LA MACARENA.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,399,"UPDATE municipio_id, municipio_texto",477|LA MACARENA,722|PUERTO CONCORDIA,"La fila XLSX 401 indica PUERTO CONCORDIA, pero la fila final quedo asociada a LA MACARENA.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,581,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 583 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,582,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 584 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,583,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 585 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,584,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 586 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,585,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 587 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,586,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 588 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,587,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 589 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,588,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 590 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,589,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 591 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,590,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 592 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,591,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 593 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,592,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 594 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,593,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 595 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,594,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 596 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,595,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 597 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,596,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 598 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,597,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 599 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,598,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 600 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,599,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 601 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,600,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 602 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,601,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 603 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,602,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 604 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,603,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 605 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,604,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 606 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,605,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 607 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,606,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 608 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,607,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 609 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,608,"UPDATE municipio_id, municipio_texto",728|PUERTO LLERAS,1054|URIBE,"La fila XLSX 610 indica URIBE, pero la fila final quedo asociada a PUERTO LLERAS.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,609,"UPDATE municipio_id, municipio_texto",729|PUERTO LÓPEZ,1054|URIBE,"La fila XLSX 611 indica URIBE, pero la fila final quedo asociada a PUERTO LÓPEZ.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,610,"UPDATE municipio_id, municipio_texto",729|PUERTO LÓPEZ,1054|URIBE,"La fila XLSX 612 indica URIBE, pero la fila final quedo asociada a PUERTO LÓPEZ.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,611,"UPDATE municipio_id, municipio_texto",729|PUERTO LÓPEZ,1054|URIBE,"La fila XLSX 613 indica URIBE, pero la fila final quedo asociada a PUERTO LÓPEZ.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,612,"UPDATE municipio_id, municipio_texto",729|PUERTO LÓPEZ,1054|URIBE,"La fila XLSX 614 indica URIBE, pero la fila final quedo asociada a PUERTO LÓPEZ.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,613,"UPDATE municipio_id, municipio_texto",729|PUERTO LÓPEZ,1054|URIBE,"La fila XLSX 615 indica URIBE, pero la fila final quedo asociada a PUERTO LÓPEZ.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,614,"UPDATE municipio_id, municipio_texto",729|PUERTO LÓPEZ,1054|URIBE,"La fila XLSX 616 indica URIBE, pero la fila final quedo asociada a PUERTO LÓPEZ.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
focalizacion_final,615,"UPDATE municipio_id, municipio_texto",729|PUERTO LÓPEZ,1054|URIBE,"La fila XLSX 617 indica URIBE, pero la fila final quedo asociada a PUERTO LÓPEZ.",data/focalizacion-agosto-2026.xlsx (6f55c28567d7dd2f9f92182f90f89398f3769b00dbcfbedac19c8ec604422719)
